Year,Julian Date,DATE,Min Air T (C),Max Air T (C),Avg Air T (C),PRCP (inches),
2023,1,1/1/2023,-11.67,2.78,-4.44,0,
2023,2,1/2/2023,-11.67,0.56,-5.56,0,
2023,3,1/3/2023,-7.22,-1.67,-4.44,0,
2023,4,1/4/2023,-6.11,-2.22,-4.17,0.27,
2023,5,1/5/2023,-11.11,-2.22,-6.67,0.02,
2023,6,1/6/2023,-18.89,-4.44,-11.67,0,
2023,7,1/7/2023,-20.56,-6.67,-13.61,0,
2023,8,1/8/2023,-16.67,-10.00,-13.33,0,
2023,9,1/9/2023,-16.11,-5.00,-10.56,0,
2023,10,1/10/2023,-15.00,-3.33,-9.17,0,
2023,11,1/11/2023,-13.89,-1.67,-7.78,0,
2023,12,1/12/2023,-10.00,-3.89,-6.94,0,
2023,13,1/13/2023,-15.56,-7.22,-11.39,0,
2023,14,1/14/2023,-16.11,-7.22,-11.67,0,
2023,15,1/15/2023,-7.22,0.56,-3.33,0,
2023,16,1/16/2023,-2.22,1.11,-0.56,0,
2023,17,1/17/2023,-6.11,0.00,-3.06,0.06,
2023,18,1/18/2023,-7.22,-4.44,-5.83,0,
2023,19,1/19/2023,-7.22,-4.44,-5.83,0,
2023,20,1/20/2023,-9.44,-3.89,-6.67,0,
2023,21,1/21/2023,-8.89,-4.44,-6.67,0,
2023,22,1/22/2023,-18.33,-2.22,-10.28,0,
2023,23,1/23/2023,-17.78,-3.33,-10.56,0,
2023,24,1/24/2023,-15.56,0.00,-7.78,0,
2023,25,1/25/2023,-13.33,-2.22,-7.78,0,
2023,26,1/26/2023,-17.78,-9.44,-13.61,0,
2023,27,1/27/2023,-15.00,2.22,-6.39,0.02,
2023,28,1/28/2023,-18.89,-7.22,-13.06,0.01,
2023,29,1/29/2023,-23.33,-18.33,-20.83,0,
2023,30,1/30/2023,-26.11,-16.67,-21.39,0,
2023,31,1/31/2023,-26.11,-18.89,-22.50,0,
2023,32,2/1/2023,-25.00,-11.11,-18.06,0,
2023,33,2/2/2023,-20.00,-4.44,-12.22,0,
2023,34,2/3/2023,-22.78,-15.00,-18.89,0,
2023,35,2/4/2023,-19.44,-12.22,-15.83,0,
2023,36,2/5/2023,-13.89,2.22,-5.83,0,
2023,37,2/6/2023,-6.11,-1.11,-3.61,0,
2023,38,2/7/2023,-7.78,2.22,-2.78,0,
2023,39,2/8/2023,-8.33,2.78,-2.78,0,
2023,40,2/9/2023,-7.22,2.78,-2.22,0,
2023,41,2/10/2023,-18.89,-1.67,-10.28,0,
2023,42,2/11/2023,-17.78,-0.56,-9.17,0,
2023,43,2/12/2023,-11.11,2.22,-4.44,0,
2023,44,2/13/2023,-11.11,3.33,-3.89,0,
2023,45,2/14/2023,-10.56,5.00,-2.78,0,
2023,46,2/15/2023,-12.22,3.33,-4.44,0.44,
2023,47,2/16/2023,-16.11,-11.67,-13.89,0,
2023,48,2/17/2023,-18.89,-8.89,-13.89,0,
2023,49,2/18/2023,-16.67,-2.78,-9.72,0,
2023,50,2/19/2023,-11.67,1.11,-5.28,0,
2023,51,2/20/2023,-7.78,-1.11,-4.44,0.01,
2023,52,2/21/2023,-17.78,1.11,-8.33,0,
2023,53,2/22/2023,-16.11,-12.22,-14.17,0.28,
2023,54,2/23/2023,-18.33,-14.44,-16.39,0.34,
2023,55,2/24/2023,-27.78,-16.67,-22.22,0,
