"PLOT","REP","TREATMENT","DATE","CROP","YEAR","LOCATION","SID","ROW","COL","PLANTING_DATE","STAND_OAT","STAND_PEA","STAND_FLAX","OAT_BIOMASS_MATURITY","OAT_YIELD_HAND","PEA_BIOMASS_MATURITY","PEA_YIELD_HAND","FLAX_BIOMASS_MATURITY","WEED_BIOMASS_MATURITY","COMBO_BIOMASS_MATURITY","COMBO_YIELD_HAND","COMBO_HI","OAT_FLOWER_DATE","PEA_FLOWER_DATE","FLAX_FLOWER_DATE","OAT_MATURE_DATE","PEA_MATURE_DATE","FLAX_MATURE_DATE","PREDATION_EATEN","PREDATION_NOTEATEN","BUGVAC_RICHNESS","BUGVAC_ABUNDANCE","PEA_YIELD_PCT","OAT_YIELD_PCT","OAT_CP","PEA_CP","OAT_ADF","PEA_ADF","OAT_NDF","PEA_NDF","OAT_TDN","PEA_TDN","OAT_ME","PEA_ME","OAT_NEl","PEA_NEl","OAT_NEg","PEA_NEg","OAT_NEm","PEA_NEm","OAT_DE","PEA_DE","OAT_DDM","PEA_DDM","OAT_DMI","PEA_DMI","OAT_RFV","PEA_RFV","COMBO_CP","COMBO_ADF","COMBO_NDF","COMBO_TDN","COMBO_ME","COMBO_NEl","COMBO_NEg","COMBO_NEm","COMBO_DE","COMBO_DDM","COMBO_DMI","COMBO_RFV"
"A11","A","early oat","early","oat",2023,"ESDSWRF","OP.2023.A11",1,1,"4/24/2023",2532808.399,0,0,3908.792651,2360.892388,0,0,0,114.1732283,3908.792651,2360.892388,0.6039953,"6/12/2023","","","7/11/2023","",NA,23,63,14,77,0,1,147.6655029,NA,161.9309858,NA,387.9,NA,765.6,NA,3.38,NA,0.8,NA,0.74,NA,1.06,NA,7.44,NA,76.28557620618,NA,3.09358081979892,NA,182.942321999029,NA,147.6655029,161.9309858,387.9,765.6,3.38,0.8,0.74,1.06,7.44,76.28557620618,3.09358081979892,182.942321999029
"A21","A","early oat-pea","early","oat-pea",2023,"ESDSWRF","OP.2023.A21",2,1,"4/24/2023",1351706.037,275590.5512,0,3639.76378,2221.784777,519.6850394,269.0288714,0,177.8215223,4159.448819,2490.813648,0.598832623,"6/12/2023","6/11/2023","","7/12/2023","7/9/2023",NA,47,14,23,119,0.108008429942568,0.891991570218022,142.6932056,256.6845528,149.6305437,58.92710248,411.5,118.8,774.4,831.7,3.41,3,0.81,0.87,0.75,0.62,1.07,0.92,7.53,3.67,77.24378064577,84.309578716808,2.91616038882139,10.1010101010101,174.616475505428,660.164268395646,155.005232061025,139.833807447469,379.885932621893,780.58888316007,3.36571654427116,0.816480505926632,0.735958904227909,1.05379873568045,7.11308746163093,78.0069464141186,3.69218472607651,227.059730305621
"A31","A","early oat-pea-flax","early","oat-pea-flax",2023,"ESDSWRF","OP.2023.A31",3,1,"4/24/2023",1456692.913,314960.6299,761154.8556,3846.456693,2217.847769,1107.611549,586.6141732,437.664042,125.328084,5391.732283,2804.461942,0.520141171,"6/12/2023","6/11/2023","6/11/2023","7/12/2023","7/9/2023",NA,64,11,21,100,0.209171736087692,0.790828263983623,127.4734513,247.4047682,179.1943479,63.56554442,460.7,127.6,753.3,824.6,3.32,2.98,0.78,0.86,0.72,0.62,1.04,0.91,7.32,3.64,74.94076029859,83.948244089682,2.60473192967224,9.40438871473354,151.318287739264,612.001487859459,152.559693076347,155.008070347125,391.024894742045,768.213944836774,3.24888160996695,0.796733738942641,0.699082826442578,1.01280767438277,6.55024801171932,76.8248713262989,4.02702794438972,247.68019250563
"A41","A","early pea","early","pea",2023,"ESDSWRF","OP.2023.A41",4,1,"4/24/2023",0,551181.1024,0,0,0,2140.419948,939.6325459,0,135.8267717,2140.419948,939.6325459,0.438994482,"","6/10/2023","","","7/16/2023",NA,12,45,12,25,1,0,NA,299.901124,NA,68.81446683,NA,197.1,NA,816.6,NA,2.95,NA,0.85,NA,0.61,NA,0.9,NA,3.6,NA,83.539353033943,NA,6.0882800608828,NA,394.272075484965,299.901124,68.81446683,197.1,816.6,2.95,0.85,0.61,0.9,3.6,83.539353033943,6.0882800608828,394.272075484965
"A51","A","late pea","late","pea",2023,"ESDSWRF","OP.2023.A51",5,1,"6/1/2023",0,498687.664,0,0,0,3284.776903,1566.272966,0,56.43044619,3284.776903,1566.272966,0.476827807,"","7/15/2023","","","8/13/2023",NA,NA,NA,NA,NA,1,0,NA,274.3846816,NA,62.69826865,NA,116.5,NA,826,NA,2.98,NA,0.86,NA,0.62,NA,0.91,NA,3.64,NA,84.015804872165,NA,10.3004291845494,NA,670.851820518335,274.3846816,62.69826865,116.5,826,2.98,0.86,0.62,0.91,3.64,84.015804872165,10.3004291845494,670.851820518335
"A61","A","late oat","late","oat",2023,"ESDSWRF","OP.2023.A61",6,1,"6/1/2023",2152230.971,0,0,5886.48294,2851.049869,0,0,0,53.80577428,5886.48294,2851.049869,0.484338424,"7/15/2023","","","8/9/2023","",NA,NA,NA,NA,NA,0,1,142.786595,NA,167.1681145,NA,419.1,NA,761.9,NA,3.36,NA,0.79,NA,0.73,NA,1.05,NA,7.41,NA,75.87760388045,NA,2.86327845382963,NA,168.417603348149,NA,142.786595,167.1681145,419.1,761.9,3.36,0.79,0.73,1.05,7.41,75.87760388045,2.86327845382963,168.417603348149
"A71","A","late oat-pea","late","oat-pea",2023,"ESDSWRF","OP.2023.A71",7,1,"6/1/2023",1023622.047,196850.3937,0,4318.897638,2128.608924,240.1574803,52.49343832,0,747.3753281,4559.055118,2181.102362,0.478411054,"7/15/2023","7/15/2023","","8/11/2023","8/8/2023",NA,NA,NA,NA,NA,0.0240673886904901,0.975932611456225,136.1410752,283.9931583,163.4190221,70.6238334,390.9,133.6,764.6,813.8,3.37,2.94,0.8,0.85,0.74,0.6,1.06,0.9,7.43,3.59,76.16965817841,83.39840337814,3.06983883346124,8.98203592814371,181.262460936087,580.687949994012,139.69948877264,161.185684248926,384.707460947288,765.78411563575,3.35965102335752,0.801203369551896,0.7366305656919,1.05614921796504,7.33758122851861,76.3436352100516,3.21212997940414,190.875589460727
"B11","B","early oat-pea-flax","early","oat-pea-flax",2023,"ESDSWRF","OP.2023.B11",8,1,"4/24/2023",1325459.318,301837.2703,958005.2493,2815.616798,1509.186352,391.7322835,169.2913386,382.5459318,73.49081365,3589.895013,1678.47769,0.467556205,"6/12/2023","6/11/2023","6/11/2023","7/12/2023","7/9/2023",NA,56,0,24,127,0.100860046939319,0.899139953418148,139.3454377,276.2688934,166.2699603,63.02560847,403.6,179.3,762.5,825.5,3.36,2.98,0.79,0.86,0.73,0.62,1.05,0.91,7.41,3.64,75.94757009263,83.990305100187,2.97324083250743,6.69269380925823,175.046834518704,435.753019365683,153.155543918807,155.856730187643,380.977091615784,768.854183229745,3.32167318336415,0.797060203568151,0.718905395097626,1.03587959380384,7.0297576256876,76.7587607501614,3.34838503539394,201.341672622315
"B21","B","early pea","early","pea",2023,"ESDSWRF","OP.2023.B21",9,1,"4/24/2023",0,459317.5853,0,0,0,1940.288714,759.8425197,0,99.08136483,1940.288714,759.8425197,0.391613121,"","6/10/2023","","","7/16/2023",NA,52,18,8,21,1,0,NA,313.1874323,NA,63.77658566,NA,167.9,NA,824.3,NA,2.97,NA,0.86,NA,0.61,NA,0.91,NA,3.63,NA,83.931803977086,NA,7.14711137581894,NA,465.015465889641,313.1874323,63.77658566,167.9,824.3,2.97,0.86,0.61,0.91,3.63,83.931803977086,7.14711137581894,465.015465889641
"B31","B","early oat-pea","early","oat-pea",2023,"ESDSWRF","OP.2023.B31",10,1,"4/24/2023",1391076.115,446194.2257,0,2599.081365,1528.871391,658.7926509,345.144357,0,116.7979003,3257.874016,1874.015748,0.575226586,"6/12/2023","6/11/2023","","7/12/2023","7/9/2023",NA,7,79,13,67,0.184173669494692,0.815826330505308,143.6726804,291.440685,183.1755784,61.13887145,410.7,97.2,750.5,837.4,3.31,3.69,0.78,0.88,0.72,0.83,1.04,1.17,7.29,8.14,74.63062244264,84.137281914045,2.9218407596786,12.3456790123457,169.037825250457,805.21850812561,170.887656041091,160.69963026797,352.961554613414,766.504691879089,3.37998599440798,0.798417366949469,0.740259103644416,1.06394257703431,7.44654761907049,76.3814988021251,4.65746363139675,286.205556077213
