"PLOT","REP","TREATMENT","PLANTING","CROP","OAT_CP","PEA_CP","OAT_ADF","PEA_ADF","OAT_NDF","PEA_NDF","OAT_TDN","PEA_TDN","OAT_ME","PEA_ME","OAT_NEl","PEA_NEl","OAT_NEg","PEA_NEg","OAT_NEm","PEA_NEm","OAT_DE","PEA_DE","OAT_DDM","PEA_DDM","OAT_DMI","PEA_DMI","OAT_RFV","PEA_RFV"
"A11","A","early oat","early","oat",14.76655029,NA,16.19309858,NA,38.79,NA,76.56,NA,3.38,NA,0.8,NA,0.74,NA,1.06,NA,7.44,NA,76.28557620618,NA,3.09358081979892,NA,182.942321999029,NA
"A21","A","early oat-pea","early","oat-pea",14.26932056,25.66845528,14.96305437,5.892710248,41.15,11.88,77.44,83.17,3.41,3,0.81,0.87,0.75,0.62,1.07,0.92,7.53,3.67,77.24378064577,84.309578716808,2.91616038882139,10.1010101010101,174.616475505428,660.164268395646
"A31","A","early oat-pea-flax","early","oat-pea-flax",12.74734513,24.74047682,17.91943479,6.356554442,46.07,12.76,75.33,82.46,3.32,2.98,0.78,0.86,0.72,0.62,1.04,0.91,7.32,3.64,74.94076029859,83.948244089682,2.60473192967224,9.40438871473354,151.318287739264,612.001487859459
"A41","A","early pea","early","pea",NA,29.9901124,NA,6.881446683,NA,19.71,NA,81.66,NA,2.95,NA,0.85,NA,0.61,NA,0.9,NA,3.6,NA,83.539353033943,NA,6.0882800608828,NA,394.272075484965
"A51","A","late pea","late","pea",NA,27.43846816,NA,6.269826865,NA,11.65,NA,82.6,NA,2.98,NA,0.86,NA,0.62,NA,0.91,NA,3.64,NA,84.015804872165,NA,10.3004291845494,NA,670.851820518335
"A61","A","late oat","late","oat",14.2786595,NA,16.71681145,NA,41.91,NA,76.19,NA,3.36,NA,0.79,NA,0.73,NA,1.05,NA,7.41,NA,75.87760388045,NA,2.86327845382963,NA,168.417603348149,NA
"A71","A","late oat-pea","late","oat-pea",13.61410752,28.39931583,16.34190221,7.06238334,39.09,13.36,76.46,81.38,3.37,2.94,0.8,0.85,0.74,0.6,1.06,0.9,7.43,3.59,76.16965817841,83.39840337814,3.06983883346124,8.98203592814371,181.262460936087,580.687949994012
"B11","B","early oat-pea-flax","early","oat-pea-flax",13.93454377,27.62688934,16.62699603,6.302560847,40.36,17.93,76.25,82.55,3.36,2.98,0.79,0.86,0.73,0.62,1.05,0.91,7.41,3.64,75.94757009263,83.990305100187,2.97324083250743,6.69269380925823,175.046834518704,435.753019365683
"B21","B","early pea","early","pea",NA,31.31874323,NA,6.377658566,NA,16.79,NA,82.43,NA,2.97,NA,0.86,NA,0.61,NA,0.91,NA,3.63,NA,83.931803977086,NA,7.14711137581894,NA,465.015465889641
"B31","B","early oat-pea","early","oat-pea",14.36726804,29.1440685,18.31755784,6.113887145,41.07,9.72,75.05,83.74,3.31,3.69,0.78,0.88,0.72,0.83,1.04,1.17,7.29,8.14,74.63062244264,84.137281914045,2.9218407596786,12.3456790123457,169.037825250457,805.21850812561
